abjecções;abjeções
factorizar-lhas;fatorizar-lhas
factorizar-lhe;fatorizar-lhe
factorizar-lhes;fatorizar-lhes
factorizar-lho;fatorizar-lho
factorizar-lhos;fatorizar-lhos
factorizar-me-ei;fatorizar-me-ei
factorizar-me;fatorizar-me
factorizar-me-ia;fatorizar-me-ia
factorizarmos;fatorizarmos
factorizar-nos-íamos;fatorizar-nos-íamos
factorizar-nos-emos;fatorizar-nos-emos
factorizar-nos;fatorizar-nos
factorizarão;fatorizarão
factorizar-se-á;fatorizar-se-á
factorizar-se;fatorizar-se
factorizar-se-ia;fatorizar-se-ia
factorizar-se-iam;fatorizar-se-iam
factorizar-se-ão;fatorizar-se-ão
factorizarás;fatorizarás
factorizar-te-ei;fatorizar-te-ei
factorizar-te-á;fatorizar-te-á
factorizar-te;fatorizar-te
factorizar-te-ias;fatorizar-te-ias
factorizar-te-ás;fatorizar-te-ás
factorizar-vos-íeis;fatorizar-vos-íeis
factorizar-vos-eis;fatorizar-vos-eis
factorizar-vos;fatorizar-vos
factorizas;fatorizas
factorizasse;fatorizasse
factorizassem;fatorizassem
factorizasses;fatorizasses
factorizaste;fatorizaste
factorizastes;fatorizastes
factorizava;fatorizava
factorizavam;fatorizavam
factorizavas;fatorizavas
factorize;fatorize
factorizei;fatorizei
factorizeis;fatorizeis
factorizem;fatorizem
factorizemos;fatorizemos
factorizes;fatorizes
factorizá-la;fatorizá-la
factorizá-las;fatorizá-las
factorizá-lo-íamos;fatorizá-lo-íamos
factorizá-lo-ei;fatorizá-lo-ei
factorizá-lo-íeis;fatorizá-lo-íeis
factorizá-lo-eis;fatorizá-lo-eis
factorizá-lo-emos;fatorizá-lo-emos
factorizá-lo-á;fatorizá-lo-á
factorizá-lo;fatorizá-lo
factorizá-lo-ia;fatorizá-lo-ia
factorizá-lo-iam;fatorizá-lo-iam
factorizá-lo-ias;fatorizá-lo-ias
factorizá-lo-ão;fatorizá-lo-ão
factorizá-lo-ás;fatorizá-lo-ás
factorizá-los;fatorizá-los
factorizámos;fatorizámos
factorizo;fatorizo
factorizou;fatorizou
factorizáramos;fatorizáramos
factorizáreis;fatorizáreis
factorizásseis;fatorizásseis
factorizássemos;fatorizássemos
factorizávamos;fatorizávamos
factorizáveis;fatorizáveis
facturada;faturada
facturadas;faturadas
facturado;faturado
facturados;faturados
facturações;faturações
factura;fatura
facturai;faturai
facturais;faturais
facturam;faturam
facturamos;faturamos
facturando;faturando
facturação;faturação
facturara;faturara
facturaram;faturaram
facturaríamos;faturaríamos
facturaras;faturaras
facturardes;faturardes
facturarei;faturarei
facturaríeis;faturaríeis
facturareis;faturareis
facturarem;faturarem
facturaremos;faturaremos
facturares;faturares
facturará;faturará
facturar;faturar
facturaria;faturaria
facturariam;faturariam
facturarias;faturarias
facturar-lha;faturar-lha
facturar-lhas;faturar-lhas
facturar-lhe;faturar-lhe
facturar-lhes;faturar-lhes
facturar-lho;faturar-lho
facturar-lhos;faturar-lhos
facturar-me-ei;faturar-me-ei
facturar-me;faturar-me
facturar-me-ia;faturar-me-ia
facturarmos;faturarmos
facturar-nos-íamos;faturar-nos-íamos
facturar-nos-emos;faturar-nos-emos
facturar-nos;faturar-nos
facturarão;faturarão
facturar-se-á;faturar-se-á
facturar-se;faturar-se
facturar-se-ia;faturar-se-ia
facturar-se-iam;faturar-se-iam
facturar-se-ão;faturar-se-ão
facturarás;faturarás
facturar-te-ei;faturar-te-ei
facturar-te-á;faturar-te-á
facturar-te;faturar-te
facturar-te-ias;faturar-te-ias
facturar-te-ás;faturar-te-ás
facturar-vos-íeis;faturar-vos-íeis
facturar-vos-eis;faturar-vos-eis
facturar-vos;faturar-vos
facturas;faturas
facturasse;faturasse
facturassem;faturassem
facturasses;faturasses
facturaste;faturaste
facturastes;faturastes
facturava;faturava
facturavam;faturavam
facturavas;faturavas
facture;fature
facturei;faturei
factureis;fatureis
facturem;faturem
facturemos;faturemos
factures;fatures
facturá-la;faturá-la
facturá-las;faturá-las
facturá-lo-íamos;faturá-lo-íamos
facturá-lo-ei;faturá-lo-ei
facturá-lo-íeis;faturá-lo-íeis
facturá-lo-eis;faturá-lo-eis
facturá-lo-emos;faturá-lo-emos
facturá-lo-á;faturá-lo-á
facturá-lo;faturá-lo
facturá-lo-ia;faturá-lo-ia
facturá-lo-iam;faturá-lo-iam
facturá-lo-ias;faturá-lo-ias
facturá-lo-ão;faturá-lo-ão
facturá-lo-ás;faturá-lo-ás
facturá-los;faturá-los
facturámos;faturámos
facturo;faturo
facturou;faturou
facturáramos;faturáramos
facturáreis;faturáreis
facturásseis;faturásseis
facturássemos;faturássemos
facturávamos;faturávamos
facturáveis;faturáveis
fibróide;fibroide
flectíamos;fletíamos
flectíeis;fletíeis
flectia;fletia
flectiam;fletiam
flectias;fletias
flectida;fletida
flectidas;fletidas
flectido;fletido
flectidos;fletidos
flecti;fleti
flecti-la;fleti-la
flecti-las;fleti-las
flecti-lo-íamos;fleti-lo-íamos
flecti-lo-ei;fleti-lo-ei
flecti-lo-íeis;fleti-lo-íeis
flecti-lo-eis;fleti-lo-eis
flecti-lo-emos;fleti-lo-emos
flecti-lo-á;fleti-lo-á
flecti-lo;fleti-lo
flecti-lo-ia;fleti-lo-ia
flecti-lo-iam;fleti-lo-iam
flecti-lo-ias;fleti-lo-ias
flecti-lo-ão;fleti-lo-ão
flecti-lo-ás;fleti-lo-ás
flecti-los;fleti-los
flectimos;fletimos
flectindo;fletindo
flectira;fletira
flectiram;fletiram
flectiríamos;fletiríamos
flectiras;fletiras
flectirdes;fletirdes
flectirei;fletirei
flectiríeis;fletiríeis
flectireis;fletireis
flectirem;fletirem
flectiremos;fletiremos
flectires;fletires
flectirá;fletirá
flectir;fletir
flectiria;fletiria
flectiriam;fletiriam
flectirias;fletirias
flectir-lha;fletir-lha
flectir-lhas;fletir-lhas
flectir-lhe;fletir-lhe
flectir-lhes;fletir-lhes
flectir-lho;fletir-lho
flectir-lhos;fletir-lhos
flectir-me-ei;fletir-me-ei
flectir-me;fletir-me
flectir-me-ia;fletir-me-ia
flectirmos;fletirmos
flectir-nos-íamos;fletir-nos-íamos
flectir-nos-emos;fletir-nos-emos
flectir-nos;fletir-nos
flectirão;fletirão
flectir-se-á;fletir-se-á
flectir-se;fletir-se
flectir-se-ia;fletir-se-ia
flectir-se-iam;fletir-se-iam
flectir-se-ão;fletir-se-ão
flectirás;fletirás
flectir-te-ei;fletir-te-ei
flectir-te-á;fletir-te-á
flectir-te;fletir-te
flectir-te-ias;fletir-te-ias
flectir-te-ás;fletir-te-ás
flectir-vos-íeis;fletir-vos-íeis
flectir-vos-eis;fletir-vos-eis
flectir-vos;fletir-vos
flectisse;fletisse
flectissem;fletissem
flectisses;fletisses
flectiste;fletiste
flectistes;fletistes
flectiu;fletiu
flectíramos;fletíramos
flectíreis;fletíreis
flectísseis;fletísseis
flectíssemos;fletíssemos
fotoeléctrica;fotoelétrica
fotoeléctricas;fotoelétricas
fotoeléctrico;fotoelétrico
fotoeléctricos;fotoelétricos
fotoelectrão;fotoeletrão
foto-receptor;fotorrecetor
fraccionada;fracionada
fraccionadas;fracionadas
fraccionado;fracionado
fraccionados;fracionados
fracciona;fraciona
fraccionai;fracionai
fraccionais;fracionais
fraccionamento;fracionamento
fraccionamentos;fracionamentos
fraccionam;fracionam
fraccionamos;fracionamos
fraccionando;fracionando
fraccionara;fracionara
fraccionaram;fracionaram
fraccionaríamos;fracionaríamos
fraccionaras;fracionaras
fraccionardes;fracionardes
fraccionarei;fracionarei
fraccionaríeis;fracionaríeis
fraccionareis;fracionareis
fraccionarem;fracionarem
fraccionaremos;fracionaremos
fraccionares;fracionares
fraccionará;fracionará
fraccionar;fracionar
fraccionaria;fracionaria
fraccionariam;fracionariam
fraccionarias;fracionarias
fraccionar-lha;fracionar-lha
fraccionar-lhas;fracionar-lhas
fraccionar-lhe;fracionar-lhe
fraccionar-lhes;fracionar-lhes
fraccionar-lho;fracionar-lho
fraccionar-lhos;fracionar-lhos
fraccionar-me-ei;fracionar-me-ei
fraccionar-me;fracionar-me
fraccionar-me-ia;fracionar-me-ia
fraccionarmos;fracionarmos
fraccionar-nos-íamos;fracionar-nos-íamos
fraccionar-nos-emos;fracionar-nos-emos
fraccionar-nos;fracionar-nos
fraccionarão;fracionarão
fraccionar-se-á;fracionar-se-á
fraccionar-se;fracionar-se
fraccionar-se-ia;fracionar-se-ia
fraccionar-se-iam;fracionar-se-iam
fraccionar-se-ão;fracionar-se-ão
fraccionarás;fracionarás
fraccionar-te-ei;fracionar-te-ei
fraccionar-te-á;fracionar-te-á
fraccionar-te;fracionar-te
fraccionar-te-ias;fracionar-te-ias
fraccionar-te-ás;fracionar-te-ás
fraccionar-vos-íeis;fracionar-vos-íeis
fraccionar-vos-eis;fracionar-vos-eis
fraccionar-vos;fracionar-vos
fraccionas;fracionas
fraccionasse;fracionasse
fraccionassem;fracionassem
fraccionasses;fracionasses
fraccionaste;fracionaste
fraccionastes;fracionastes
fraccionava;fracionava
fraccionavam;fracionavam
fraccionavas;fracionavas
fraccione;fracione
fraccionei;fracionei
fraccioneis;fracioneis
fraccionem;fracionem
fraccionemos;fracionemos
fracciones;fraciones
fraccioná-la;fracioná-la
fraccioná-las;fracioná-las
fraccioná-lo-íamos;fracioná-lo-íamos
fraccioná-lo-ei;fracioná-lo-ei
fraccioná-lo-íeis;fracioná-lo-íeis
fraccioná-lo-eis;fracioná-lo-eis
fraccioná-lo-emos;fracioná-lo-emos
fraccioná-lo-á;fracioná-lo-á
fraccioná-lo;fracioná-lo
fraccioná-lo-ia;fracioná-lo-ia
fraccioná-lo-iam;fracioná-lo-iam
fraccioná-lo-ias;fracioná-lo-ias
fraccioná-lo-ão;fracioná-lo-ão
fraccioná-lo-ás;fracioná-lo-ás
fraccioná-los;fracioná-los
fraccionámos;fracionámos
fracciono;fraciono
fraccionou;fracionou
fraccionáramos;fracionáramos
fraccionáreis;fracionáreis
fraccionário;fracionário
fraccionásseis;fracionásseis
fraccionássemos;fracionássemos
fraccionávamos;fracionávamos
fraccionáveis;fracionáveis
fracções;frações
fracção;fração
fracturada;fraturada
fracturadas;fraturadas
fracturado;fraturado
fracturados;fraturados
fractura;fratura
fracturai;fraturai
fracturais;fraturais
fracturam;fraturam
fracturamos;fraturamos
fracturando;fraturando
fracturara;fraturara
fracturaram;fraturaram
fracturaríamos;fraturaríamos
fracturaras;fraturaras
fracturardes;fraturardes
fracturarei;fraturarei
fracturaríeis;fraturaríeis
fracturareis;fraturareis
fracturarem;fraturarem
fracturaremos;fraturaremos
fracturares;fraturares
fracturará;fraturará
fracturar;fraturar
fracturaria;fraturaria
fracturariam;fraturariam
fracturarias;fraturarias
fracturar-lha;fraturar-lha
fracturar-lhas;fraturar-lhas
fracturar-lhe;fraturar-lhe
fracturar-lhes;fraturar-lhes
fracturar-lho;fraturar-lho
fracturar-lhos;fraturar-lhos
fracturar-me-ei;fraturar-me-ei
fracturar-me;fraturar-me
fracturar-me-ia;fraturar-me-ia
fracturarmos;fraturarmos
fracturar-nos-íamos;fraturar-nos-íamos
fracturar-nos-emos;fraturar-nos-emos
fracturar-nos;fraturar-nos
fracturarão;fraturarão
fracturar-se-á;fraturar-se-á
fracturar-se;fraturar-se
fracturar-se-ia;fraturar-se-ia
fracturar-se-iam;fraturar-se-iam
fracturar-se-ão;fraturar-se-ão
fracturarás;fraturarás
fracturar-te-ei;fraturar-te-ei
fracturar-te-á;fraturar-te-á
fracturar-te;fraturar-te
fracturar-te-ias;fraturar-te-ias
fracturar-te-ás;fraturar-te-ás
fracturar-vos-íeis;fraturar-vos-íeis
fracturar-vos-eis;fraturar-vos-eis
fracturar-vos;fraturar-vos
fracturas;fraturas
fracturasse;fraturasse
fracturassem;fraturassem
fracturasses;fraturasses
fracturaste;fraturaste
fracturastes;fraturastes
fracturava;fraturava
fracturavam;fraturavam
fracturavas;fraturavas
fracture;frature
fracturei;fraturei
fractureis;fratureis
fracturem;fraturem
fracturemos;fraturemos
fractures;fratures
fracturá-la;fraturá-la
fracturá-las;fraturá-las
fracturá-lo-íamos;fraturá-lo-íamos
fracturá-lo-ei;fraturá-lo-ei
fracturá-lo-íeis;fraturá-lo-íeis
fracturá-lo-eis;fraturá-lo-eis
fracturá-lo-emos;fraturá-lo-emos
fracturá-lo-á;fraturá-lo-á
fracturá-lo;fraturá-lo
fracturá-lo-ia;fraturá-lo-ia
fracturá-lo-iam;fraturá-lo-iam
fracturá-lo-ias;fraturá-lo-ias
fracturá-lo-ão;fraturá-lo-ão
fracturá-lo-ás;fraturá-lo-ás
fracturá-los;fraturá-los
fracturámos;fraturámos
fracturo;fraturo
fracturou;fraturou
fracturáramos;fraturáramos
fracturáreis;fraturáreis
fracturásseis;fraturásseis
fracturássemos;fraturássemos
fracturávamos;fraturávamos
fracturáveis;fraturáveis
frequencímetro;frequencímetro
frequencímetros;frequencímetros
frequente;frequente
frequentemente;frequentemente
frequentes;frequentes
frequência;frequência
frequências;frequências
geleia;geleia
geleias;geleias
gonorreia;gonorreia
gonorreico;gonorreico
grandiloquência;grandiloquência
grandiloquências;grandiloquências
granitóide;granitoide
guarda-jóias;guarda-joias
guarda-nocturno;guarda-noturno
haplóide;haploide
haplóides;haploides
hemisferóide;hemisferoide
heróica;heroica
heróicas;heroicas
heróico;heroico
heróicos;heroicos
hidroeléctrica;hidroelétrica
hidroeléctricas;hidroelétricas
hidroeléctrico;hidroelétrico
hidroeléctricos;hidroelétricos
hiperbolóide;hiperboloide
hiperbolóides;hiperboloides
hiperprotecções;hiperproteções
hiperprotecção;hiperproteção
hipnóide;hipnoide
hipnóides;hipnoides
icterícia;icterícia
icterícias;icterícia
ideia;ideia
ideias;ideias
ilíquido;ilíquido
imperceptibilidade;impercetibilidade
imperceptibilidades;impercetibilidades
imperceptíveis;impercetíveis
imperceptível;impercetível
inacções;inações
inacção;inação
inactiva;inativa
inactivas;inativas
inactividade;inatividade
inactividades;inatividades
inactivo;inativo
inactivos;inativos
inactual;inatual
incaracterístico;incaracterístico
inconsequente;inconsequente
inconsequentes;inconsequentes
inconsequência;inconsequência
inconsequências;inconsequências
incorrecções;incorreções
incorrecção;incorreção
incorrecta;incorreta
incorrectas;incorretas
incorrecto;incorreto
incorrectos;incorretos
incorrectíssima;incorretíssima
incorrectíssimas;incorretíssimas
incorrectíssimo;incorretíssimo
incorrectíssimos;incorretíssimos
indefectibilidade;indefetibilidade
indefectibilidades;indefetibilidades
indefectivelmente;indefetivelmente
indefectíveis;indefetíveis
indefectível;indefetível
indirecções;indireções
indirecção;indireção
indirecta;indireta
indirectamente;indiretamente
indirectas;indiretas
indirecto;indireto
indirectos;indiretos
inexacta;inexata
inexactamente;inexatamente
inexactas;inexatas
inexactidões;inexatidões
inexactidão;inexatidão
inexacto;inexato
inexactos;inexatos
inexequibilidade;inexequibilidade
inexequibilidades;inexequibilidades
inexequível;inexequível
infeccionada;infecionar
infeccionadas;infecionar
infeccionado;infecionar
infeccionados;infecionar
infeccionai;infecionar
infecciona;infecionar
infeccionais;infecionar
infeccionam;infecionar
infeccionamos;infecionar
infeccionando;infecionar
infeccionara;infecionar
infeccionaram;infecionar
infeccionaríamos;infecionar
infeccionaras;infecionar
infeccionardes;infecionar
infeccionarei;infecionar
infeccionaríeis;infecionar
infeccionareis;infecionar
infeccionarem;infecionar
infeccionaremos;infecionar
infeccionares;infecionar
infeccionaria;infecionar
infeccionariam;infecionar
infeccionarias;infecionar
infeccionará;infecionar
infeccionar;infecionar
infeccionar-lha;infecionar
infeccionar-lhas;infecionar
infeccionar-lhe;infecionar
infeccionar-lhes;infecionar
infeccionar-lho;infecionar
infeccionar-lhos;infecionar
infeccionar-me-ei;infecionar
infeccionar-me-ia;infecionar
infeccionar-me;infecionar
infeccionarmos;infecionar
infeccionar-nos-íamos;infecionar
infeccionar-nos-emos;infecionar
infeccionar-nos;infecionar
infeccionarão;infecionar
infeccionar-se-ia;infecionar
infeccionar-se-iam;infecionar
infeccionar-se-á;infecionar
infeccionar-se;infecionar
infeccionar-se-ão;infecionar
infeccionarás;infecionar
infeccionar-te-ei;infecionar
infeccionar-te-ias;infecionar
infeccionar-te-á;infecionar
infeccionar-te;infecionar
infeccionar-te-ás;infecionar
infeccionar-vos-íeis;infecionar
infeccionar-vos-eis;infecionar
infeccionar-vos;infecionar
infeccionas;infecionar
infeccionasse;infecionar
infeccionassem;infecionar
infeccionasses;infecionar
infeccionaste;infecionar
infeccionastes;infecionar
infeccionava;infecionar
infeccionavam;infecionar
infeccionavas;infecionar
infeccionei;infecionar
infeccione;infecionar
infeccioneis;infecionar
infeccionem;infecionar
infeccionemos;infecionar
infecciones;infecionar
infeccioná-la;infecionar
infeccioná-las;infecionar
infeccioná-lo-íamos;infecionar
infeccioná-lo-ei;infecionar
infeccioná-lo-íeis;infecionar
infeccioná-lo-eis;infecionar
infeccioná-lo-emos;infecionar
infeccioná-lo-ia;infecionar
infeccioná-lo-iam;infecionar
infeccioná-lo-ias;infecionar
infeccioná-lo-á;infecionar
infeccioná-lo;infecionar
infeccioná-lo-ão;infecionar
infeccioná-lo-ás;infecionar
infeccioná-los;infecionar
infeccionámos;infecionar
infecciono;infecionar
infeccionou;infecionar
infeccionáramos;infecionar
infeccionáreis;infecionar
infeccionásseis;infecionar
infeccionássemos;infecionar
infeccionávamos;infecionar
infeccionáveis;infecionar
infecciosa;infeccioso
infecciosas;infeccioso
infeccioso;infeccioso
infecciosos;infeccioso
infecções;infeções
infecção;infeção
infectada;infetada
infectadas;infetadas
infectado;infetado
infectados;infetados
infectai;infetai
infecta;infecto
infecta;infeta
infectais;infetais
infectam;infetam
infectamos;infetamos
infectando;infetando
infectante;infetante
infectantes;infetantes
infectara;infetara
infectaram;infetaram
infectaríamos;infetaríamos
infectaras;infetaras
infectardes;infetardes
infectarei;infetarei
infectaríeis;infetaríeis
infectareis;infetareis
infectarem;infetarem
infectaremos;infetaremos
infectares;infetares
infectaria;infetaria
infectariam;infetariam
infectarias;infetarias
infectará;infetará
infectar;infetar
infectar-lha;infetar-lha
infectar-lhas;infetar-lhas
infectar-lhe;infetar-lhe
infectar-lhes;infetar-lhes
infectar-lho;infetar-lho
infectar-lhos;infetar-lhos
infectar-me-ei;infetar-me-ei
infectar-me-ia;infetar-me-ia
infectar-me;infetar-me
infectarmos;infetarmos
infectar-nos-íamos;infetar-nos-íamos
infectar-nos-emos;infetar-nos-emos
infectar-nos;infetar-nos
infectarão;infetarão
infectar-se-ia;infetar-se-ia
infectar-se-iam;infetar-se-iam
infectar-se-á;infetar-se-á
infectar-se;infetar-se
infectar-se-ão;infetar-se-ão
infectarás;infetarás
infectar-te-ei;infetar-te-ei
infectar-te-ias;infetar-te-ias
infectar-te-á;infetar-te-á
infectar-te;infetar-te
infectar-te-ás;infetar-te-ás
infectar-vos-íeis;infetar-vos-íeis
infectar-vos-eis;infetar-vos-eis
infectar-vos;infetar-vos
infectas;infecto
infectas;infetas
infectasse;infetasse
infectassem;infetassem
infectasses;infetasses
infectaste;infetaste
infectastes;infetastes
infectava;infetava
infectavam;infetavam
infectavas;infetavas
infectei;infetei
infecte;infete
infecteis;infeteis
infectem;infetem
infectemos;infetemos
infectes;infetes
infectá-la;infetá-la
infectá-las;infetá-las
infectá-lo-íamos;infetá-lo-íamos
infectá-lo-ei;infetá-lo-ei
infectá-lo-íeis;infetá-lo-íeis
infectá-lo-eis;infetá-lo-eis
infectá-lo-emos;infetá-lo-emos
infectá-lo-ia;infetá-lo-ia
infectá-lo-iam;infetá-lo-iam
infectá-lo-ias;infetá-lo-ias
infectá-lo-á;infetá-lo-á
infectá-lo;infetá-lo
infectá-lo-ão;infetá-lo-ão
infectá-lo-ás;infetá-lo-ás
infectá-los;infetá-los
infectámos;infetámos
infecto;infecto
infecto;infeto
infectou;infetou
infectáramos;infetáramos
infectáreis;infetáreis
infectásseis;infetásseis
infectássemos;infetássemos
infectávamos;infetávamos
infectáveis;infetáveis
inflectíamos;infletíamos
inflectíeis;infletíeis
inflectia;infletia
inflectiam;infletiam
inflectias;infletias
inflectida;infletida
inflectidas;infletidas
inflectido;infletido
inflectidos;infletidos
inflecti;infleti
inflecti-la;infleti-la
inflecti-las;infleti-las
inflecti-lo-íamos;infleti-lo-íamos
inflecti-lo-ei;infleti-lo-ei
inflecti-lo-íeis;infleti-lo-íeis
inflecti-lo-eis;infleti-lo-eis
inflecti-lo-emos;infleti-lo-emos
inflecti-lo-ia;infleti-lo-ia
inflecti-lo-iam;infleti-lo-iam
inflecti-lo-ias;infleti-lo-ias
inflecti-lo-á;infleti-lo-á
inflecti-lo;infleti-lo
inflecti-lo-ão;infleti-lo-ão
inflecti-lo-ás;infleti-lo-ás
inflecti-los;infleti-los
inflectimos;infletimos
inflectindo;infletindo
inflectira;infletira
inflectiram;infletiram
inflectiríamos;infletiríamos
inflectiras;infletiras
inflectirdes;infletirdes
inflectirei;infletirei
inflectiríeis;infletiríeis
inflectireis;infletireis
inflectirem;infletirem
inflectiremos;infletiremos
inflectires;infletires
inflectiria;infletiria
inflectiriam;infletiriam
inflectirias;infletirias
inflectirá;infletirá
inflectir;infletir
inflectir-lha;infletir-lha
inflectir-lhas;infletir-lhas
inflectir-lhe;infletir-lhe
inflectir-lhes;infletir-lhes
inflectir-lho;infletir-lho
inflectir-lhos;infletir-lhos
inflectir-me-ei;infletir-me-ei
inflectir-me-ia;infletir-me-ia
inflectir-me;infletir-me
inflectirmos;infletirmos
inflectir-nos-íamos;infletir-nos-íamos
inflectir-nos-emos;infletir-nos-emos
inflectir-nos;infletir-nos
inflectirão;infletirão
inflectir-se-ia;infletir-se-ia
inflectir-se-iam;infletir-se-iam
inflectir-se-á;infletir-se-á
inflectir-se;infletir-se
inflectir-se-ão;infletir-se-ão
inflectirás;infletirás
inflectir-te-ei;infletir-te-ei
inflectir-te-ias;infletir-te-ias
inflectir-te-á;infletir-te-á
inflectir-te;infletir-te
inflectir-te-ás;infletir-te-ás
inflectir-vos-íeis;infletir-vos-íeis
inflectir-vos-eis;infletir-vos-eis
inflectir-vos;infletir-vos
inflectisse;infletisse
inflectissem;infletissem
inflectisses;infletisses
inflectiste;infletiste
inflectistes;infletistes
inflectiu;infletiu
inflectíramos;infletíramos
inflectíreis;infletíreis
inflectísseis;infletísseis
inflectíssemos;infletíssemos
infracções;infrações
infracção;infração
infractores;infratores
infractor;infrator
infra-estrutura;infraestrutura
infra-estruturas;infraestruturas
infra-renal;infrarrenal
infra-som;infrassom
infrequentado;infrequentado
infrequente;infrequente
infrequência;infrequência
infrequências;infrequências
injecções;injeções
injecção;injeção
injectada;injetada
injectadas;injetadas
injectado;injetado
injectados;injetados
injectai;injetai
injecta;injeta
injectais;injetais
injectam;injetam
injectamos;injetamos
injectando;injetando
injectara;injetara
injectaram;injetaram
injectaríamos;injetaríamos
injectaras;injetaras
injectardes;injetardes
injectarei;injetarei
injectaríeis;injetaríeis
injectareis;injetareis
injectarem;injetarem
injectaremos;injetaremos
injectares;injetares
injectaria;injetaria
injectariam;injetariam
injectarias;injetarias
injectará;injetará
injectar;injetar
injectar-lha;injetar-lha
injectar-lhas;injetar-lhas
injectar-lhe;injetar-lhe
injectar-lhes;injetar-lhes
injectar-lho;injetar-lho
injectar-lhos;injetar-lhos
injectar-me-ei;injetar-me-ei
injectar-me-ia;injetar-me-ia
injectar-me;injetar-me
injectarmos;injetarmos
injectar-nos-íamos;injetar-nos-íamos
injectar-nos-emos;injetar-nos-emos
injectar-nos;injetar-nos
injectarão;injetarão
injectar-se-ia;injetar-se-ia
injectar-se-iam;injetar-se-iam
injectar-se-á;injetar-se-á
injectar-se;injetar-se
injectar-se-ão;injetar-se-ão
injectarás;injetarás
injectar-te-ei;injetar-te-ei
injectar-te-ias;injetar-te-ias
injectar-te-á;injetar-te-á
injectar-te;injetar-te
injectar-te-ás;injetar-te-ás
injectar-vos-íeis;injetar-vos-íeis
injectar-vos-eis;injetar-vos-eis
injectar-vos;injetar-vos
injectas;injetas
injectasse;injetasse
injectassem;injetassem
injectasses;injetasses
injectaste;injetaste
injectastes;injetastes
injectava;injetava
injectavam;injetavam
injectavas;injetavas
injectei;injetei
injecte;injete
injecteis;injeteis
injectem;injetem
injectemos;injetemos
injectes;injetes
injectiva;injetiva
injectivamente;injetivamente
injectivas;injetivas
injectividade;injetividade
injectividades;injetividades
injectivo;injetivo
injectivos;injetivos
injectá-la;injetá-la
injectá-las;injetá-las
injectá-lo-íamos;injetá-lo-íamos
injectá-lo-ei;injetá-lo-ei
injectá-lo-íeis;injetá-lo-íeis
injectá-lo-eis;injetá-lo-eis
injectá-lo-emos;injetá-lo-emos
injectá-lo-ia;injetá-lo-ia
injectá-lo-iam;injetá-lo-iam
injectá-lo-ias;injetá-lo-ias
injectá-lo-á;injetá-lo-á
injectá-lo;injetá-lo
injectá-lo-ão;injetá-lo-ão
injectá-lo-ás;injetá-lo-ás
injectá-los;injetá-los
injectámos;injetámos
injecto;injeto
injectores;injetores
injector;injetor
injectou;injetou
injectáramos;injetáramos
injectáreis;injetáreis
injectásseis;injetásseis
injectássemos;injetássemos
injectávamos;injetávamos
injectáveis;injetáveis
insecticida;inseticida
insecticidas;inseticidas
insecto;inseto
insectos;insetos
insectívora;insetívoro
insectívoras;insetívoro
insectívoro;insetívoro
insectívoros;insetívoro
inspeccionada;inspecionada
inspeccionadas;inspecionadas
inspeccionado;inspecionado
inspeccionadora;inspecionadora
inspeccionadoras;inspecionadoras
inspeccionadores;inspecionadores
inspeccionador;inspecionador
inspeccionados;inspecionados
inspeccionai;inspecionai
inspecciona;inspeciona
inspeccionais;inspecionais
inspeccionam;inspecionam
inspeccionamos;inspecionamos
inspeccionando;inspecionando
inspeccionara;inspecionara
inspeccionaram;inspecionaram
inspeccionaríamos;inspecionaríamos
inspeccionaras;inspecionaras
inspeccionardes;inspecionardes
inspeccionarei;inspecionarei
inspeccionaríeis;inspecionaríeis
inspeccionareis;inspecionareis
inspeccionarem;inspecionarem
inspeccionaremos;inspecionaremos
inspeccionares;inspecionares
inspeccionaria;inspecionaria
inspeccionariam;inspecionariam
inspeccionarias;inspecionarias
inspeccionará;inspecionará
inspeccionar;inspecionar
inspeccionar-lha;inspecionar-lha
inspeccionar-lhas;inspecionar-lhas
inspeccionar-lhe;inspecionar-lhe
inspeccionar-lhes;inspecionar-lhes
inspeccionar-lho;inspecionar-lho
inspeccionar-lhos;inspecionar-lhos
inspeccionar-me-ei;inspecionar-me-ei
inspeccionar-me-ia;inspecionar-me-ia
inspeccionar-me;inspecionar-me
inspeccionarmos;inspecionarmos
inspeccionar-nos-íamos;inspecionar-nos-íamos
inspeccionar-nos-emos;inspecionar-nos-emos
inspeccionar-nos;inspecionar-nos
inspeccionarão;inspecionarão
inspeccionar-se-ia;inspecionar-se-ia
inspeccionar-se-iam;inspecionar-se-iam
inspeccionar-se-á;inspecionar-se-á
inspeccionar-se;inspecionar-se
inspeccionar-se-ão;inspecionar-se-ão
inspeccionarás;inspecionarás
inspeccionar-te-ei;inspecionar-te-ei
inspeccionar-te-ias;inspecionar-te-ias
inspeccionar-te-á;inspecionar-te-á
inspeccionar-te;inspecionar-te
inspeccionar-te-ás;inspecionar-te-ás
inspeccionar-vos-íeis;inspecionar-vos-íeis
inspeccionar-vos-eis;inspecionar-vos-eis
inspeccionar-vos;inspecionar-vos
inspeccionas;inspecionas
inspeccionasse;inspecionasse
inspeccionassem;inspecionassem
inspeccionasses;inspecionasses
inspeccionaste;inspecionaste
inspeccionastes;inspecionastes
inspeccionava;inspecionava
inspeccionavam;inspecionavam
inspeccionavas;inspecionavas
inspeccionei;inspecionei
inspeccione;inspecione
inspeccioneis;inspecioneis
